Plantnaam
Abelia 'Edward Goucher'
Abelia grandiflora
Acer campestre 'Elsrijk'
Acer griseum
Acer palmatum
Acer palmatum Brown Sugar
Acer rubrum Red Sunset
Achillea 'Terracotta'
Achillea m. 'Cerise Queen'
Achillea m. 'Paprika'
Achillea millefolium
Agastache 'Blue Fortune'
Albizia julibr. 'Summer Chocolate'
Alchemilla mollis
Alnus cordata
Amelanchier arborea 'Robin Hill'
Amelanchier lamarckii
Ammophila arenaria
Anaphalis triplinervis
Anemone hyb. 'Honorine Jobert'
Anemone hyb. 'Konigin Charlotte'
Armeria mar. 'Alba'
Armeria mar. 'Splendens'
Aronia melanocarpa
Aronia prunifolia 'Viking'
Asplenium scolopendrium
Aster ageratoides 'Asran'
Aster ageratoides 'Stardust'
Aster divaricatus
Aster ericoides 'Pink Cloud'
Aster frikartii 'Monch'
Aster n.-b. 'White Ladies'
Athyrium filix-femina
Athyrium niponicum 'Pewter Lace'
Athyrium niponicum metallicum
Bergenia cordifolia
Betula albosin. 'Fascination'
Betula utilis 'Doorenbos'
Buddleja 'Lochinch'
Buddleja d. 'Black Knight'
Buddleja d. 'Border Beauty'
Buddleja d. 'Empire Blue'
Buddleja d. 'Ile de France'
Buddleja d. 'Nanho Blue'
Buddleja d. 'Nanho White'
Buddleja d. 'Pink Delight'
Buddleja d. 'Royal Red'
Buddleja d. 'White Profusion'
Buddleja d. Butt. Candy Lila Sweetheart
Buddleja d. Butt. Candy Little Cerise
Buddleja d. Butt. Candy Little Lila
Buddleja d. Butt. Candy Little Pink
Buddleja d. Butt. Candy Little Purple
Buddleja d. Butt. Candy Little Ruby
Buddleja d. Butt. Candy Little White
Buddleja d. nanhoensis
Buddleja weyeriana 'Sungold'
Calamagrostis acut. 'Karl Foerster'
Calamagrostis acut. 'Overdam'
Calamintha n. nepeta
Callicarpa bodinieri giraldii
Carex morrowii
Carex morrowii 'Ice Dance'
Carex morrowii 'Irish Green'
Carex morrowii 'Variegata'
Carex oshim. 'Evergold'
Carex oshim. 'Evergreen'
Carex pendula
Carex testacea
Caryopteris cland. 'Heavenly Blue'
Catalpa bignonioides 'Nana'
Ceanothus impressus 'Victoria'
Ceanothus pallidus 'Marie Simon'
Ceanothus thyrs. repens
Cercis siliquastrum
Chaenomeles j. 'Sargentii'
Chaenomeles spec. 'Nivalis'
Chaenomeles sup. 'Crimson and Gold'
Chaenomeles sup. 'Jet Trail'
Chaenomeles sup. 'Nicoline'
Chaenomeles sup. 'Pink Lady'
Chelone obliqua
Chelone obliqua 'Alba'
Choisya 'Aztec Pearl'
Choisya ternata
Choisya ternata Sundance
Choisya ternata White Dazzler
Cistus hybridus (=Corbariensis)
Cistus obtusifolius 'Thrive'
Cistus pulverulentus 'Sunset'
Cistus purpureus 'Alan Fradd'
Coreopsis vert. 'Zagreb'
Cornus alba
Cornus alba 'Elegantissima'
Cornus alba 'Gouchaultii'
Cornus alba 'Ivory Halo'
Cornus alba 'Kesselringii'
Cornus alba 'Sibirica'
Cornus k. 'China Girl'
Cornus k. 'Milky Way'
Cornus mas
Cornus sang. 'Midwinter Fire'
Cornus sang. 'Winter Beauty'
Cornus sanguinea
Cornus sericea 'Flaviramea'
Cornus sericea 'Kelseyi'
Cortaderia s. 'Pumila'
Corylus avellana
Corylus colurna
Corylus maxima 'Purpurea'
Cotinus cog. 'Royal Purple'
Cotinus cog. 'Young Lady'
Cotoneaster dam. 'Major'
Cotoneaster franchetii
Cotoneaster horizontalis
Cotoneaster lacteus
Cotoneaster microphyllus
